CODIGO_ESCOLA|UF|CODMUNIC|MUNIC|DEP|CODFUNC|LAB_INFO|BIBLIO|PROFESS|FUNCION|VDG1CA|VDG1C1|VDG1C3|VDG1C4
25602429|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|56|87|0|0|32|16
25602430|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602431|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602432|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|39|75|0|5|23|0
25601917|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|13|30|8|5|0|0
25602433|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|0|3|9|0|3|0|0
25601918|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|14|32|9|5|0|0
25601919|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|19|41|11|8|0|0
25602434|Roraima|140100200175|CANTA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25601920|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|16|34|12|4|0|0
25602435|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602436|Roraima|140200400506|SAO JOAO DA BALIZA|Municipal|Ativo|0|0|6|10|0|2|3|0
25602437|Roraima|140200400605|SAO LUIZ|Estadual|Ativo|0|1|19|38|0|2|13|9
25602438|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|2|2|0|0|2|0
25602439|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|1|1|1|0|0|1|0
25602440|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|1|1|0|0|1|0
25602441|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|1|1|0|0|1|0
25602442|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|1|1|0|0|1|0
25602443|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|2|2|0|0|2|0
25602444|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|1|1|0|0|1|0
25602445|Roraima|140200400233|CAROEBE|Estadual|Ativo|0|1|33|50|0|0|18|8
25602446|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|1|1|0|1|1|0
25602447|Roraima|140100200175|CANTA|Municipal|Ativo|0|0|1|2|0|1|0|0
25602448|Roraima|140100200175|CANTA|Municipal|Ativo|0|0|4|5|0|1|2|0
25602449|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|1|0
25601955|Roraima|140100100456|PACARAIMA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602450|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602451|Roraima|140100200159|BONFIM|Estadual|Ativo|0|0|1|1|0|1|1|0
25602452|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602453|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602454|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602455|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602456|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602457|Roraima|140100200175|CANTA|Estadual|Ativo|0|0|2|3|0|0|2|0
25602458|Roraima|140100200159|BONFIM|Municipal|Ativo|0|0|3|5|0|1|1|0
25602459|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602460|Roraima|140100200175|CANTA|Estadual|Ativo|0|0|2|2|0|1|2|0
25602461|Roraima|140100200407|NORMANDIA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602462|Roraima|140200300209|CARACARAI|Municipal|Ativo|0|0|2|3|0|0|2|0
25601921|Roraima|140200300209|CARACARAI|Municipal|Ativo|0|0|20|42|20|0|0|0
25602463|Roraima|140200300209|CARACARAI|Municipal|Ativo|0|0|19|51|0|10|9|0
25602464|Roraima|140200300209|CARACARAI|Municipal|Ativo|0|0|1|1|0|1|0|0
25602465|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602466|Roraima|140200300308|MUCAJAI|Municipal|Ativo|0|0|1|1|0|0|1|0
25602467|Roraima|140200300308|MUCAJAI|Municipal|Ativo|0|0|1|1|0|0|1|0
25602468|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|30|65|0|0|23|0
25602469|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|10|24|0|1|9|0
25602470|Roraima|140100200704|UIRAMUTA|Municipal|Ativo|0|0|2|3|0|1|1|0
25602471|Roraima|140100200175|CANTA|Municipal|Ativo|0|0|1|1|0|1|1|0
25602472|Roraima|140100200175|CANTA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602473|Roraima|140200300308|MUCAJAI|Estadual|Ativo|0|0|1|1|0|1|1|0
25602474|Roraima|140100100456|PACARAIMA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602475|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602476|Roraima|140100100027|AMAJARI|Municipal|Ativo|0|0|1|1|0|1|0|0
25602477|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602478|Roraima|140100200159|BONFIM|Municipal|Ativo|0|0|11|14|0|1|5|0
25602479|Roraima|140100200159|BONFIM|Municipal|Ativo|0|0|9|9|0|1|7|0
25602480|Roraima|140100200159|BONFIM|Municipal|Ativo|0|0|8|11|0|1|4|0
25602481|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602482|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|2|0|0|1|0
25602483|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602484|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602485|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602486|Roraima|140100100027|AMAJARI|Municipal|Ativo|0|0|2|3|0|1|1|0
25602487|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602488|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602489|Roraima|140100100027|AMAJARI|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602490|Roraima|140100100456|PACARAIMA|Estadual|Ativo|1|1|38|53|0|0|8|10
25602491|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|2|4|0|1|1|0
25602492|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|1|2|0|1|1|0
25601948|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|0|3|10|0|3|0|0
25601922|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|0|10|28|3|7|0|0
25602493|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|0|16|31|0|16|0|0
25601826|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|0|8|13|0|8|0|0
25602494|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602495|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|1|39|54|0|1|28|0
25602496|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|1|1|0|0|1|0
25602497|Roraima|140200400472|RORAINOPOLIS|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602498|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602499|Roraima|140200400472|RORAINOPOLIS|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602500|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|1|1|0|0|1|0
25602501|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|2|2|0|1|2|0
25602502|Roraima|140200400605|SAO LUIZ|Municipal|Ativo|0|0|1|2|0|1|1|0
25602503|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|1|3|0|1|1|0
25602504|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|1|1|0|0|1|0
25602505|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|186|254|0|0|126|0
25602506|Roraima|140100200704|UIRAMUTA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602507|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|1|1|0|1|1|0
25602508|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602509|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|0|1|0
25601923|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|0|10|24|4|6|0|0
25602510|Roraima|140100200175|CANTA|Municipal|Ativo|0|0|3|4|0|1|1|0
25602511|Roraima|140100200175|CANTA|Municipal|Ativo|0|0|7|12|0|0|5|0
25601924|Roraima|140100200175|CANTA|Municipal|Ativo|0|0|8|18|2|6|0|0
25602512|Roraima|140200300209|CARACARAI|Municipal|Ativo|0|0|8|12|0|1|7|0
25602513|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|0|1|0
25601925|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|0|3|7|3|0|0|0
25602514|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|16|38|0|16|0|0
25601814|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|1|4|16|2|4|0|0
25601815|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|0|4|10|1|4|0|0
25601926|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|4|16|4|0|0|0
25602515|Roraima|140200400233|CAROEBE|Municipal|Ativo|0|1|6|11|4|2|0|0
25602516|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|0|2|2|0|0|1|0
25602517|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602518|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602519|Roraima|140200400233|CAROEBE|Estadual|Ativo|0|0|1|1|0|0|1|0
25602520|Roraima|140200400233|CAROEBE|Municipal|Ativo|0|0|1|1|0|1|1|0
25602521|Roraima|140100200159|BONFIM|Estadual|Ativo|0|0|24|45|0|0|23|0
25602522|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602523|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602524|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602525|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602526|Roraima|140100100100|BOA VISTA|Particular|Ativo|0|1|11|21|0|7|4|0
25602527|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602528|Roraima|140100100456|PACARAIMA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602529|Roraima|140100100456|PACARAIMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602530|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|28|56|0|0|28|0
25602531|Roraima|140200400233|CAROEBE|Estadual|Ativo|0|0|1|1|0|1|1|0
25602532|Roraima|140100100050|ALTO ALEGRE|Municipal|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602533|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|96|124|0|0|70|0
25602534|Roraima|140100100100|BOA VISTA|Estadual|Ativo|0|1|41|73|0|0|22|0
25602535|Roraima|140100100100|BOA VISTA|Estadual|Ativo|1|1|46|87|0|0|38|0
25602536|Roraima|140200400605|SAO LUIZ|Municipal|Ativo|0|0|1|1|0|1|1|0
25602537|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|13|28|0|4|9|0
25602538|Roraima|140100200704|UIRAMUTA|Municipal|Ativo|0|0|2|3|0|1|1|0
25602539|Roraima|140100200175|CANTA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602540|Roraima|140200400233|CAROEBE|Municipal|Ativo|0|0|1|1|0|1|1|0
25602541|Roraima|140200400506|SAO JOAO DA BALIZA|Municipal|Ativo|0|0|1|2|0|0|1|0
25602542|Roraima|140100200175|CANTA|Municipal|Ativo|0|0|2|3|0|1|1|0
25602543|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|1|2|0|0|1|0
25602544|Roraima|140100200704|UIRAMUTA|Municipal|Ativo|0|0|3|4|0|2|1|0
25601897|Roraima|140200300282|IRACEMA|Municipal|Extinto|NA|NA|NA|NA|NA|NA|NA|NA
25602545|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|1|2|0|1|1|0
25602546|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|1|1|0|1|1|0
25602547|Roraima|140200400472|RORAINOPOLIS|Municipal|Ativo|0|0|2|3|0|1|1|0
25601927|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|8|31|4|4|0|0
25602548|Roraima|140100100100|BOA VISTA|Municipal|Ativo|1|1|42|73|0|8|21|0
25601928|Roraima|140100100100|BOA VISTA|Municipal|Ativo|0|0|10|33|6|4|0|0
25602549|Roraima|140200400233|CAROEBE|Estadual|Ativo|0|0|1|1|0|1|1|0
25602550|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602551|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602552|Roraima|140200400472|RORAINOPOLIS|Estadual|Ativo|0|0|1|1|0|0|1|0
25602553|Roraima|140100200175|CANTA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602554|Roraima|140200400233|CAROEBE|Municipal|Ativo|0|0|2|2|0|1|1|0
25602555|Roraima|140200300308|MUCAJAI|Estadual|Ativo|0|0|1|1|0|1|0|0
25602556|Roraima|140200400605|SAO LUIZ|Municipal|Ativo|0|0|1|1|0|0|1|0
25602557|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602558|Roraima|140100200159|BONFIM|Estadual|Ativo|0|0|3|3|0|1|2|0
25602559|Roraima|140200300308|MUCAJAI|Estadual|Ativo|0|0|1|1|0|1|1|0
25602560|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602561|Roraima|140200300308|MUCAJAI|Municipal|Ativo|0|0|1|1|0|0|1|0
25602562|Roraima|140200400233|CAROEBE|Municipal|Ativo|0|0|1|1|0|1|1|0
25602563|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602564|Roraima|140100200407|NORMANDIA|Estadual|Ativo|0|0|1|1|0|1|1|0
25602565|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602566|Roraima|140100200704|UIRAMUTA|Estadual|Ativo|0|0|2|2|0|1|2|0
25602567|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602568|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602569|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602570|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|0|0
25602571|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|2|2|0|0|1|0
25602572|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602573|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602574|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602575|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602576|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602577|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602578|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602579|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602580|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602581|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602582|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602583|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602584|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602585|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602586|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602587|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|2|2|0|0|2|0
25602588|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602589|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|0|0
25602590|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602591|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602592|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|0|0
25602593|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602594|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|2|2|0|0|1|0
25602595|Roraima|140200300282|IRACEMA|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602596|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602597|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|1|0
25602598|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602599|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602600|Roraima|140200300209|CARACARAI|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602601|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602602|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|2|2|0|0|0|0
25602603|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602604|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|2|2|0|0|1|0
25602605|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602606|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602607|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|1|0
25602608|Roraima|140200300282|IRACEMA|Estadual|Ativo|0|0|1|1|0|0|0|0
25602609|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|2|2|0|0|2|0
25602610|Roraima|140100100027|AMAJARI|Estadual|Ativo|0|0|2|2|0|0|2|0
25602611|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|1|0
25602612|Roraima|140100100050|ALTO ALEGRE|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602613|Roraima|140100100050|ALTO ALEGRE|Estadual|Ativo|0|0|1|1|0|0|1|0
25602614|Roraima|140200300209|CARACARAI|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602615|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602616|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|3|3|0|0|3|0
25602617|Roraima|140200300209|CARACARAI|Estadual|Paralisado|NA|NA|NA|NA|NA|NA|NA|NA
25602618|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602619|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602620|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602621|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602622|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602623|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|2|2|0|0|2|0
25602624|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602625|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
25602626|Roraima|140200300209|CARACARAI|Estadual|Ativo|0|0|1|1|0|0|1|0
